Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",140.589000,-92.329000,180.000000,top
"C2","470n","C_0805_2012Metric",184.785000,-68.834000,90.000000,top
"C3","100n","C_0402_1005Metric",137.414000,-95.730000,270.000000,top
"C4","220u","CP_Elec_10x10.5",176.390000,-65.532000,90.000000,top
"C5","10u","C_0805_2012Metric",135.572500,-95.059500,90.000000,top
"C6","10n","C_0402_1005Metric",135.380000,-85.760000,270.000000,top
"C7","100n","C_0402_1005Metric",131.188400,-78.606600,0.000000,top
"C8","100n","C_0402_1005Metric",130.590000,-81.790000,0.000000,top
"C9","10n","C_0402_1005Metric",134.040000,-85.760000,270.000000,top
"C10","10u","CP_EIA-3216-10_Kemet-I",129.918400,-76.828600,180.000000,top
"C11","10u","C_0805_2012Metric",130.210000,-80.160000,180.000000,top
"C12","100n","C_0402_1005Metric",134.770000,-71.560000,180.000000,top
"C13","220u","CP_Elec_10x10.5",164.973000,-65.532000,90.000000,top
"C14","100n","C_0402_1005Metric",130.620000,-82.910000,0.000000,top
"C15","10u","CP_EIA-3216-10_Kemet-I",130.610000,-84.510000,180.000000,top
"C16","22u","C_1206_3216Metric",156.972000,-71.247000,90.000000,top
"C17","22u","C_1206_3216Metric",153.009600,-69.977000,0.000000,top
"C18","100n","C_0402_1005Metric",147.664000,-66.561800,90.000000,top
"C19","10u","CP_EIA-3216-10_Kemet-I",138.226800,-86.766400,270.000000,top
"C20","100n","C_0402_1005Metric",138.480800,-82.702400,0.000000,top
"C21","10p","C_0402_1005Metric",141.401800,-88.798400,90.000000,top
"C22","100n","C_0402_1005Metric",141.881800,-70.129400,180.000000,top
"C23","10p","C_0402_1005Metric",146.989800,-88.770400,270.000000,top
"C24","100n","C_0402_1005Metric",152.755600,-73.126600,180.000000,top
"C25","100n","C_0402_1005Metric",145.542000,-85.979000,90.000000,top
"C26","100n","C_0402_1005Metric",153.860500,-80.899000,180.000000,top
"C27","100n","C_0402_1005Metric",141.401800,-85.623400,0.000000,top
"C28","1u","C_0805_2012Metric",151.003000,-88.265000,90.000000,top
"C29","10n","C_0402_1005Metric",147.856000,-85.344000,0.000000,top
"C30","1u","C_0402_1005Metric",150.114000,-90.805000,180.000000,top
"D1","SS54","D_SMA",178.562000,-82.931000,270.000000,top
"D2","LED","LED_0603_1608Metric",159.943800,-82.829400,180.000000,top
"D3","LED","LED_0603_1608Metric",159.943800,-80.606900,180.000000,top
"D4","LED","LED_0603_1608Metric",159.943800,-78.511400,180.000000,top
"FB1","39n","L_0402_1005Metric",148.971000,-88.265000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Molex-105017-0001",145.643600,-61.214000,180.000000,top
"L1","47uH","L_12x12mm_H8mm",168.910000,-79.502000,180.000000,top
"R1","120R","R_0402_1005Metric",184.975500,-91.884500,180.000000,top
"R2","47k","R_0402_1005Metric",138.239500,-71.437500,180.000000,top
"R3","10k","R_0402_1005Metric",139.801600,-69.291200,270.000000,top
"R4","47k","R_0402_1005Metric",137.668000,-77.774800,0.000000,top
"R5","47k","R_0402_1005Metric",137.668000,-78.841600,0.000000,top
"R6","1k5","R_0402_1005Metric",142.087600,-66.192400,0.000000,top
"R7","10k","R_0402_1005Metric",137.371600,-79.959200,180.000000,top
"R8","1k","R_0402_1005Metric",157.149800,-82.829400,0.000000,top
"R9","1k","R_0402_1005Metric",157.149800,-80.606900,0.000000,top
"R10","1k","R_0402_1005Metric",157.149800,-78.511400,0.000000,top
"U1","TJA1051T/3/1J","SOIC-8_3.9x4.9mm_P1.27mm",141.808200,-95.935800,-90.000000,top
"U2","LM2596S-5","TO-263-5_TabPin3",189.0000,-82.550000,0.000000,top
"U4","USBLC6-2SC6","SOT-23-6",144.983200,-67.538600,270.000000,top
"U5","AMS1117-3.3","SOT-223-3_TabPin2",154.533600,-63.881000,270.000000,top
"U6","STM32F103RBTx","LQFP-64_10x10mm_P0.5mm",145.846800,-77.876400,0,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",144.152800,-88.710400,0.000000,top
