Comment,Designator,Footprint,LCSC Part #
100n Unpolarized capacitor,"C1,C3,C7,C8,C12,C14,C18,C20,C22,C24,C25,C26,C27",C_0402_1005Metric,C307331
470n Unpolarized capacitor,C2,C_0805_2012Metric,C13967
220u Polarized capacitor,"C4,C13",CP_Elec_10x10.5,C2887271
10u Polarized capacitor,"C5,C11",C_0805_2012Metric,C15850
10n Unpolarized capacitor,"C6,C9,C29",C_0402_1005Metric,C15195
10u Unpolarized capacitor,"C10,C15,C19",CP_EIA-3216-10_Kemet-I,C7171
22u Unpolarized capacitor,"C16,C17",C_1206_3216Metric,C5672
10p Unpolarized capacitor,"C21,C23",C_0402_1005Metric,C32949
1u Unpolarized capacitor,C28,C_0805_2012Metric,C28323
1u Unpolarized capacitor,C30,C_0402_1005Metric,C52923
SS54 Schottky diode,D1,D_SMA,C22452
LED Light emitting diode,"D2,D3,D4",LED_0603_1608Metric,C2286
39n Ferrite bead,FB1,L_0402_1005Metric,C26443
MountingHole Mounting Hole without connection,"H1,H2,H3,H4",MountingHole_2.2mm_M2,
USB_B_Micro USB Micro Type B connector,J1,USB_Micro-B_Molex-105017-0001,C136000
"Conn_02x13_Odd_Even Generic connector, double row, 02x13, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",J2,PinHeader_2x13_P2.54mm_Vertical,
"Conn_01x06 Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",J3,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,
"Screw_Terminal_01x03 Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",J4,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",
"Screw_Terminal_01x02 Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",J5,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
"SolderJumper_2_Open Solder Jumper, 2-pole, open",JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
47uH Inductor,L1,L_12x12mm_H8mm,CYH127-47UH
120R Resistor,R1,R_0402_1005Metric,C25079
47k Resistor,"R2,R4,R5",R_0402_1005Metric,C25792
10k Resistor,"R3,R7",R_0402_1005Metric,C25744
1k5 Resistor,R6,R_0402_1005Metric,C25867
1k Resistor,"R8,R9,R10",R_0402_1005Metric,C11702
"TJA1051T/3/1J High-Speed CAN Transceiver, separate VIO, silent mode, SOIC-8",U1,SOIC-8_3.9x4.9mm_P1.27mm,C38695
"LM2596S-5 5V 3A Step-Down Voltage Regulator, TO-263",U2,TO-263-5_TabPin3,C10002
AM4096 ,U3,SSOP-28_5.3x10.2mm_P0.65mm,
"USBLC6-2SC6 Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",U4,SOT-23-6,C7519
"AMS1117-3.3 1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",U5,SOT-223-3_TabPin2,C6186
"STM32F103RBTx ARM Cortex-M3 MCU, 128KB flash, 20KB RAM, 72MHz, 2-3.6V, 51 GPIO, LQFP-64",U6,LQFP-64_10x10mm_P0.5mm,C8735
"Crystal_GND24 Four pin crystal, GND on pins 2 and 4",Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
